bucket	date	oca_title	best_ours	score
missing	02-07	1,003 Martyrs of Nicomedia		0.0
missing	02-07	Martyr Aule		0.0
present	02-08	Sunday of the Prodigal Son	Sunday of the Prodigal Son	1.0
missing	02-08	Afterfeast of the Meeting of our Lord in the Temple		0.0
present	02-08	Greatmartyr Theodore Stratelates “the General”	Greatmartyr Theodore Stratelates	1.0
missing	02-08	Prophet Zachariah		0.0
present	02-08	Saint Sava II, Archbishop of Serbia	St Sabbas II, Archbishop of Serbia (1271)	1.0
elsewhere	02-08	Blessed Liubov (Sukhanovskaya) of Ryazan, Fool for Christ	10-02  Bl. Andrew, Fool-for-Christ	0.75
present	02-09	Leavetaking of the Meeting of our Lord in the Temple	Leavetaking of Meeting	1.0
present	02-09	Martyr Nikephoros of Antioch, in Syria	Martyr Nicephorus of Antioch	1.0
present	02-09	Uncovering of the relics of Saint Innocent, Bishop of Irkutsk	Relics of St Innocent of Irkutsk	1.0
probable	02-09	Venerable Pancratius of the Kiev Caves	Markellos, Philagrios, & Pankratios the Hieromartyrs	0.33
probable	02-09	Venerable Nikēphóros of Vazheozersk	Martyr Nicephorus of Antioch	0.5
missing	02-09	Venerable Gennadius of Vazheozersk		0.0
present	02-09	Hieromartyrs Marcellus, Bishop of Sicily, Philagrius, Bishop of Cyprus, and Pancratius, Bishop of Taoromina	Markellos, Philagrios, & Pankratios the Hieromartyrs	1.0
missing	02-09	Venerable Shio Mgvime		0.0
missing	02-09	Virgin Martyr Apollonia		0.0
missing	02-09	Venerable Romanós of Cilicia		0.0
present	02-10	Hieromartyr Haralambos, Bishop of Magnesia in Thessaly, the Martyrs Porphyrius and Baptus, and three women Martyrs	Martyrs Porphyrius and Baptus	1.0
missing	02-10	Synaxis of the Hierarchs of Novgorod, Buried in the Cathedral of the Holy Wisdom (Hagia Sophia) in Novgorod		0.0
missing	02-10	Princess Anna of Novgorod		0.0
present	02-10	Venerable Prochorus of the Kiev Near Caves	Our Venerable Father Prochorus of the Kiev Caves (1107)	1.0
missing	02-10	Venerable Longinus of Koryazhemsk, Vologda		0.0
missing	02-10	Virgin Martyrs Ennatha, Valentina and Paula, of Palestine		0.0
missing	02-10	Icon of the Mother of God “Areovindus”		0.0
missing	02-10	Saint John Chimchimeli the Philosopher		0.0
missing	02-10	Saint Ioannikios, Father Confessor of the Dormition Holy Mountain Hermitage		0.0
present	02-11	Hieromartyr Blaise, Bishop of Sebaste	Hieromartyr Blaise of Sebaste	1.0
missing	02-11	Venerable Demetrios, Wonderworker of Priluki, Vologda		0.0
missing	02-11	Saint Vsevolod (in Baptism Gabriel), Wonderworker of Pskov		0.0
probable	02-11	Righteous Theodora, wife of Emperor Theophilus the Iconoclast	St Theodora the Empress (867)	0.5
elsewhere	02-11	Saint George, New Martyr of Sofia	05-26  Greatmartyr George the New at Sofia	1.0
missing	02-11	Saint Gobnata of Ballyvourney		0.0
present	02-12	Saint Meletius, Archbishop of Antioch	St Meletius, Archbishop of Antioch	1.0
probable	02-12	Saint Alexei, Metropolitan of Moscow, Wonderworker of All Russia	St Aleksy, Metr. of All Russia	0.5
probable	02-12	Saint Meletius, Archbishop of Khar'kov and Akhtyrsk	St Meletius, Archbishop of Antioch	0.5
missing	02-12	Venerable Mary (who was called Marinus), and her father, Venerable Eugene, at Alexandria		0.0
missing	02-12	Saint Anthony, Patriarch of Constantinople		0.0
present	02-12	Saint Kristo the Gardener of Albania	Christos the New Martyr	1.0
missing	02-12	Ivḗron Icon of the Mother of God		0.0
missing	02-12	Saint Prochorus of Georgia		0.0
missing	02-12	Martyr Nicholas (Nikoloz) Dvali in Jerusalem		0.0
missing	02-12	Saint Bassian of Uglich		0.0
missing	02-12	Martyr Luke (Luka) of Jerusalem, the Georgian		0.0
probable	02-13	Saints Martinian, Zoe, and Photina of Caesarea in Palestine	Ven. Martinian of Caesarea	0.67
probable	02-13	Venerable Stephen (in monasticism Simeon), the Myrrhgusher and Prince of Serbia	St Symeon the Myrrh-streamer, founder of the Chilandar Monastery (1200)	0.17
present	02-13	Saint Eulogius, Archbishop of Alexandria	Eulogios, Patriarch of Alexandria	1.0
elsewhere	02-13	Appearance of Christ to Saint Martin of Tours	11-12  Our Father among the Saints Martin, Bishop of Tours (397)	1.0
missing	02-13	Saint Seraphima		0.0
missing	02-13	Saint George, Archbishop of Mogilev, Belarus		0.0
present	02-14	Memorial Saturday of Meatfare	Memorial Saturday	1.0
present	02-14	Venerable Auxentius of Bithynia	Our Holy Father Auxentius (470)	1.0
present	02-14	Repose of Saint Cyril, Equal of the Apostles and Teacher of the Slavs	St Cyril, Teacher of the Slavs	1.0
elsewhere	02-14	Venerable Isaac the Recluse of the Kiev Near Caves	01-29  St Laurence, Recluse of the Kiev Caves	0.75
elsewhere	02-14	12 Greeks who built the Dormition Cathedral in the Kiev Caves, Far Caves, Lavra	08-28  Synaxis of the Kiev Cave Fathers	1.0
elsewhere	02-14	Translation of the Relics of Martyrs Michael and his councilor, Theodore, of Chernígov	09-20  Martyrs Michael and Theodore of Chernigov	1.0
present	02-14	Venerable Maron the Hermit of Syria	Venerable Maron the Hermit of Syria (ca. 423)	1.0
missing	02-14	Saint Abraham, Bishop of Charres, Mesopotamia		0.0
missing	02-14	Saint Hilarion the New of Georgia		0.0
present	02-15	Sunday of Meatfare of the Last Judgment	Sunday of the Last Judgment	1.0
present	02-15	Apostle Onesimus of the Seventy	Apostle Onesimus of the Seventy	1.0
elsewhere	02-15	Venerable Paphnutius the Recluse of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	02-15	Venerable Paphnutius and Euphrosynē of Alexandria		0.0
present	02-15	Venerable Eusebius the Hermit of Syria	Eusebius the Righteous of Syria	1.0
missing	02-15	Vil'na Icon of the Mother of God		0.0
missing	02-15	Icon of the Mother of God of Dalmatia		0.0
present	02-15	Saint Anthimus of Chios	Our Venerable Father Anthimos of Chios (1960)	1.0
probable	02-16	Martyrs Pamphilius the Presbyter, Valens the Deacon, and those with them, at Caesarea in Palestine	Martyr Pamphylius and His Companions	0.5
missing	02-16	Saint Maruthas, Bishop of Martyropolis in Mesopotamia		0.0
missing	02-16	Persian Martyrs in Martyropolis in Mesopotamia		0.0
missing	02-16	Saint Flavian, Archbishop of Antioch		0.0
missing	02-16	New Martyr Elias		0.0
present	02-17	Great Martyr Theodore the Tyro (Recruit)	Greatmartyr Theodore Tyro	1.0
elsewhere	02-17	Hieromartyr Hermogenes, Patriarch of Moscow, Wonderworker of All Russia	10-09  Repose of St Tikhon, Patriarch of Moscow and All Russia, Confessor (1925)	0.75
probable	02-17	Venerable Theodore the Silent of the Kiev Caves	Greatmartyr Theodore Tyro	0.5
present	02-17	Saint Mariamne the sister of the Apostle Philip	Mariamne, Sister of Apostle Philip, and Equal to the Apostles	1.0
missing	02-17	Uncovering of the relics of the Martyr Menas of Alexandria		0.0
missing	02-17	Weeping “Tikhvin” Icon of the Mother of God on Mount Athos		0.0
missing	02-17	Saint Joseph of Dionysiou		0.0
missing	02-17	Saint Auxibius Bishop of Soli, Cyprus		0.0
present	02-17	New Martyr Theodore	Greatmartyr Theodore Tyro	1.0
missing	02-17	Saint Theodosius the Bulgarian, with his disciple Romanos		0.0
missing	02-17	Saint Nicholas Kandaurov		0.0
missing	02-17	Saint Finan of Lindisfarne		0.0
probable	02-17	Hieromartyr Theodore of Atchara	Greatmartyr Theodore Tyro	0.5
present	02-18	Saint Leo the Great, Pope of Rome	St Leo the Great, Pope of Rome	1.0
missing	02-18	Venerable Cosmas of Yakhrom		0.0
missing	02-18	Saint Agapitos the Confessor and Wonderworker, Bishop of Synnada in Phrygia		0.0
present	02-18	Saint Flavian the Confessor, Patriarch of Constantinople	Flavian the Confessor, Patriarch of Constantinople	1.0
missing	02-18	Saint Nicholas, Catholicos of Georgia		0.0
missing	02-18	Saint Theodore (Komogovin) of Serbia		0.0
missing	02-18	Saint Colman of Lindesfarne		0.0
present	02-19	Apostles of the Seventy Archippus and Philemon, and Martyr Apphia	Apostles of the Seventy Archippus and Philemon	1.0
missing	02-19	Martyrs Maximus, Theodotus, Hesychius, and Asclepiodota, of Adrianopolis		0.0
missing	02-19	Presbyters and Confessors Eugene and Macarius, at Antioch		0.0
missing	02-19	Venerable Dositheus of Palestine, disciple of Venerable Abba Dorotheus		0.0
missing	02-19	Saint Rabulas of Samosata		0.0
missing	02-19	Venerable Theodore of Sanaxar		0.0
missing	02-19	Icon of the Mother of God of Cyprus		0.0
missing	02-19	Venerable Conan, Abbot of the Pethukla Monastery		0.0
probable	02-19	Martyr Philothea the Monastic	Our Venerable Mother Philothea of Athens (1589)	0.5
present	02-20	Saint Leo, Bishop of Catania in Sicily	St Leo, Bishop of Catania	1.0
elsewhere	02-20	Venerable Agathon, Wonderworker of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	02-20	Beheading of Venerable Cornelius, Abbot of the Pskov Caves		0.0
missing	02-20	Hieromartyr Sadoc (Sadoth), Bishop of Persia, and 128 Martyrs with him		0.0
missing	02-20	Saint Agathon, Pope of Rome		0.0
missing	02-20	Monastic Martyrs of Valaam Monastery		0.0
present	02-21	Saturday of Cheesefare Commemoration of all our God-bearing Fathers and Mothers who shone forth in asceticism	Cheesefare Saturday	1.0
probable	02-21	Venerable Timothy of Symbola in Bithynia	Ven. Timothy of Symbola	0.67
present	02-21	Saint Eustathius, Archbishop of Antioch	St Eustathius, archbishop of Antioch (337)	1.0
missing	02-21	Saint George, Bishop of Amastris on the Black Sea		0.0
missing	02-21	“Kozel'shchansk” Icon of the Mother of God		0.0
present	02-21	Saint John “Scholasticus”, Patriarch of Constantinople	St John the Scholastic, patriarch of Constantinople (577)	1.0
missing	02-21	Saint Zacharias, Patriarch of Jerusalem		0.0
missing	02-21	Saint Makarios of Glinsk Hermitage		0.0
present	02-22	Sunday of Cheesefare: Expulsion of Adam from Paradise	Sunday of Cheesefare: Expulsion of Adam from Paradise	1.0
missing	02-22	Uncovering of the relics of the Holy Martyrs at the Gate of Eugenius at Constantinople		0.0
missing	02-22	Martyrs Maurice and his son, Photinus, and Martyrs Theodore, Philip, and 70 soldiers, at Apamea in Syria		0.0
probable	02-22	Venerable Thalassius, Hermit of Syria	Ven. Thalassius and Baradates, Hermits of Syria	0.67
missing	02-22	Venerable Limnaeus, Hermit of Syria		0.0
probable	02-22	Venerable Baradates, Hermit of Syria	Ven. Thalassius and Baradates, Hermits of Syria	0.67
missing	02-22	Saint Athanasius the Confessor of Constantinople		0.0
missing	02-22	9 Martyred brothers of Kola: Guram, Adarnerse, Baqar, Vache, Bardzim, Dachi, Juansher, Ramaz, and Parsman		0.0
elsewhere	02-22	Finding of the Relics of Saint Tikhon of Moscow	10-05  Ss Peter, Aleksy, Jonah, Philip, Germogen, Metrs. Moscow	1.0
probable	02-23	Beginning of Great Lent	Beginning of the Great Fast	0.5
present	02-23	Hieromartyr Polycarp, Bishop of Smyrna	Hieromartyr Polycarp, Bishop of Smyrna	1.0
probable	02-23	Venerable Polycarp of Briansk	Hieromartyr Polycarp, Bishop of Smyrna	0.5
missing	02-23	Venerable John, Ascetic of the Syrian Deserts		0.0
missing	02-23	Venerable Antiochus and Antoninus, ascetics of the Syrian Deserts		0.0
missing	02-23	Venerable Moses, Ascetic of the Syrian Deserts		0.0
missing	02-23	Venerable Zebinas, Ascetic of the Syrian Deserts		0.0
missing	02-23	Venerable Polychronius, Ascetic of the Syrian Deserts		0.0
probable	02-23	Venerable Damian, Ascetic of the Syrian Deserts	Damian the New Martyr of Mount Athos	0.33
present	02-23	Venerable Alexander, founder of the Monastery of the “Unsleeping Ones”	Our Venerable Father Alexander the Unsleeping (430)	1.0
present	02-23	Venerable Damian of Esphigmenou of Mount Athos	Damian the New Martyr of Mount Athos	1.0
probable	02-23	Monastic Martyr Damian of Philotheou	Damian the New Martyr of Mount Athos	0.33
missing	02-23	New Hieromartyr Nicholas (Dmitrov) of Tver		0.0
present	02-23	Saint Gorgonia, Sister of Saint Gregory the Theologian	Saint Gorgonia (372)	1.0
present	02-24	First and second finding of the Honorable Head of the Holy Glorious Prophet, Forerunner, and Baptist of the Lord, John	1st and 2nd Finding Honorable Head of St John the Baptist	1.0
missing	02-24	Venerable Erasmus of the Kiev Near Caves		0.0
present	02-25	Saint Tarasius, Archbishop of Constantinople	St Tarasius, Abp. of Constantinople	1.0
present	02-26	Saint Porphyrius, Bishop of Gaza	St Porphyrius, Bishop of Gaza	1.0
missing	02-26	Venerable Sebastian of Poshekhonye		0.0
missing	02-26	Martyr Christodoulos		0.0
missing	02-26	New Martyr John Kalphes, the Apprentice		0.0
missing	02-26	“Mezhetsk” Icon of the Mother of God		0.0
present	02-27	Repose of Saint Raphael, Bishop of Brooklyn	St Raphael Bishop of Brooklyn	1.0
present	02-27	Venerable Prokopios the Confessor of Decapolis	Our Holy Father Procopius of Decapolis (9th c.)	1.0
present	02-27	Venerable Titus the Presbyter of the Kiev Near Caves	Our Venerable Father Titus of the Lavra of the Kiev Caves (1190)	0.75
present	02-27	Venerable Titus the Soldier, of the Kiev Caves	Our Venerable Father Titus of the Lavra of the Kiev Caves (1190)	0.75
missing	02-27	Venerable Thalelaios the Hermit of Syria		0.0
missing	02-27	Saints Asclepius and James of Syria		0.0
present	02-27	Saint Stephen of Constantinople	Stephen the Monk	1.0
missing	02-27	Martyrs Julian, Eunos, Beza, and Mekaro of Alexandria		0.0
present	02-27	Saint Leander of Seville	Our Holy Father Leander, Bishop of Seville and Apostle of Spain (600)	1.0
probable	02-28	1st Saturday of Great Lent: The Miracle of the Boiled Wheat	First Saturday of Lent	0.67
probable	02-28	Venerable Basil the Confessor, companion of Venerable Procopius at Decapolis	Ven. Basil the Confessor	0.5
present	02-28	Blessed Nicholas (Salos) of Pskov the Fool-For-Christ	Blessed Nicholas of Pskov, fool for Christ (1576)	1.0
missing	02-28	Hieromartyr Proterius, Patriarch of Alexandria		0.0
missing	02-28	Hieromartyr Nestor, Bishop of Magydos in Pamphylia		0.0
missing	02-28	Venerable Marina and Kyra of Syria		0.0
elsewhere	02-28	Venerable Domnica (Domnina) of Syria	01-08  Our Venerable Mother Domnica (Domnina) (ca. 474)	1.0
present	02-28	Venerable John Cassian the Roman	Righteous John Cassian the Confessor	1.0
probable	02-28	Venerable John-Barsanuphius, Bishop of Damascus	Righteous John Cassian the Confessor	0.5
missing	02-28	Heiromartyr Theokteristus		0.0
missing	02-28	Saint Leo of Cappadocia		0.0
missing	02-28	Saint Meletius, Archbishop of Khar'kov and Akhtyrsk		0.0
missing	02-28	Saint Germanus of Dacia Pontica (Dobrogea)		0.0
missing	02-28	Devpeteruv Icon of the Mother of God		0.0
present	03-01	1st Sunday of Great Lent: Sunday of Orthodoxy	Sunday of Orthodoxy	1.0
missing	03-01	Martyr Eudokia of Heliopolis		0.0
missing	03-01	Venerable Martyrius of Zelenets, Pskov		0.0
missing	03-01	Martyrs Nestor, Tribimius, and those with them		0.0
missing	03-01	Martyr Antonina of Nicea, in Bithynia		0.0
missing	03-01	Martyrs Marcellus and Anthony of Syria		0.0
missing	03-01	Saint Domnina the Younger of Syria		0.0
missing	03-01	Venerable Agapius of Vatopedi		0.0
present	03-01	Saint David, Bishop of Wales	David the Archbishop	1.0
present	03-02	Hieromartyr Theodotus, Bishop of Cyrenia	Hieromartyr Theodotus, Bishop of Cyrenia	1.0
present	03-02	Saint Arsenius, Bishop of Tver	St Arseny, Bishop of Tver	1.0
present	03-02	Virgin Martyr Euthalia of Sicily	Holy Martyr Euthalia (257)	1.0
missing	03-02	Martyr Troadius of Neocaesarea		0.0
missing	03-02	Venerable Agathon of Egypt		0.0
missing	03-02	400 Martyrs slain by the Lombards in Sicily		0.0
missing	03-02	Saint Sabbatius of Tver		0.0
missing	03-02	“Reigning” Icon of the Mother of God		0.0
missing	03-02	Venerable Joachim of Ithaka		0.0
present	03-03	Martyrs Eutropius, Cleonicus, and Basiliscus of Amasea	Martyrs Eutropius, Cleonicus and Basiliscus	1.0
missing	03-03	Saint Piamoun		0.0
missing	03-03	Saints Zenon and Zoilus		0.0
missing	03-03	Icon of the Mother of God of Volokolamsk		0.0
missing	03-03	Saint John (Chrysostom) IV, Catholicos of Georgia		0.0
missing	03-03	Venerable Shio Mgvime		0.0
present	03-04	Venerable Gerasimus of the Jordan	Ven. Gerasimus of the Jordan	1.0
probable	03-04	Venerable Gerasimus of Vologda	Ven. Gerasimus of the Jordan	0.5
missing	03-04	Venerable Joasaph of Snetogorsk, Pskov		0.0
probable	03-04	Right-believing Prince Basil (Vasilko) of Rostov	Rt. Blv. Prince Daniel of Moscow	0.25
present	03-04	Right-believing Prince Daniel of Moscow	Rt. Blv. Prince Daniel of Moscow	0.75
present	03-04	Martyrs Paul and his sister, Juliana	Paul & his sister Juliana and their Companions	1.0
probable	03-04	Saint James the Faster of Phoenicia, Syria	St James the Faster of Phoenecia (6th c.)	0.67
probable	03-04	Right-believing Prince Wenceslas of the Czech Lands	Rt. Blv. Prince Daniel of Moscow	0.25
missing	03-04	Saint Gregory, Bishop of Constantia, Cyprus		0.0
missing	03-04	Martyr Vyacheslav (Leontiev), the Priest		0.0
present	03-05	Martyr Conon of Isauria	Martyr Conon of Isauria	1.0
elsewhere	03-05	Finding of the relics of Saint Theodore, Prince of Smolensk and Yaroslavl, and his children	09-19  Rt. Blv. Theodore, Prince of Smolensk, and his sons Ss David and Constantine of Yaroslavl	0.8
missing	03-05	Monastic Martyr Adrian of Poshekhonye, Yaroslavl		0.0
missing	03-05	Martyr Onesimus of Isauria		0.0
present	03-05	Martyr Conon the Gardener of Pamphylia	Conon the Gardener	1.0
missing	03-05	Virgin Martyr Irais (Rhais) of Antinoe in Egypt		0.0
present	03-05	Martyr Eulogius of Palestine	Eulogios the Martyr	1.0
missing	03-05	Martyr Eulampius of Palestine		0.0
present	03-05	Saint Mark the Ascetic of Egypt	St Mark the Ascetic (5th c.)	1.0
missing	03-05	Saint Hesychius the Faster of Bithynia		0.0
